vaccine,date,total
Johnson,2021-01-1,605
Johnson,2021-02-1,1707
Johnson,2021-03-1,46988571
Johnson,2021-04-1,203240936 
Johnson,2021-05-1,358920646 
Johnson,2021-06-1,671128874 
Johnson,2021-07-1,906822621 
Johnson,2021-08-1,1077179497 
Johnson,2021-09-1,499664890
Moderna,2021-01-1,150070985
Moderna,2021-02-1,717870688
Moderna,2021-03-1,1815734263 
Moderna,2021-04-1,3052741765
Moderna,2021-05-1,4348389357
Moderna,2021-06-1,5355332157
Moderna,2021-07-1,6341648341
Moderna,2021-08-1,7114980086
Moderna,2021-09-1,3126845159
Oxford,2021-01-1,14449
Oxford,2021-02-1,33940332
Oxford,2021-03-1,464743925
Oxford,2021-04-1,1114355018
Oxford,2021-05-1,1889586398
Oxford,2021-06-1,2648204091
Oxford,2021-07-1,3464288875
Oxford,2021-08-1,3760782681
Oxford,2021-09-1,1800664826
Pfizer,2021-01-1,482166986
Pfizer,2021-02-1,1721643910
Pfizer,2021-03-1,3872165475
Pfizer,2021-04-1,7073813031
Pfizer,2021-05-1,11996938330
Pfizer,2021-06-1,17261718966
Pfizer,2021-07-1,23680436713
Pfizer,2021-08-1,25763968602
Pfizer,2021-09-1,11949873039
Sinovac,2021-01-1,0
Sinovac,2021-02-1,51496945
Sinovac,2021-03-1,217559630
Sinovac,2021-04-1,382781475
Sinovac,2021-05-1,512612204
Sinovac,2021-06-1,608548621
Sinovac,2021-07-1,718429469
Sinovac,2021-08-1,767580968
Sinovac,2021-09-1,280525542
